lat,lon,data_id,event_date,year,event_type,sub_event_type,actor1,actor2,region,country,admin1,lat,lon,fatalities
9.33,-74.4542,8598311,10-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Magdalena,9.33,-74.4542,3
8.4026,-73.2071,8604823,10-Oct-21,2021,Battles,Armed clash,ELN,Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.4026,-73.2071,2
10.9799,-74.8013,8627731,10-Oct-21,2021,Violence against civilians,Attack,Police Forces of Colombia (2018-),Civilians (Colombia),South America,Colombia,Atlantico,10.9799,-74.8013,0
2.9557,-76.5249,8598309,09-Oct-21,2021,Battles,Armed clash,FARC Dissident - Dagoberto Ramos,Police Forces of Colombia (2018-),South America,Colombia,Cauca,2.9557,-76.5249,2
8.6395,-72.7359,8587395,08-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.6395,-72.7359,0
8.5768,-73.0948,8598305,08-Oct-21,2021,Violence against civilians,Attack,FARC Dissident - 33rd Front,Civilians (Venezuela),South America,Colombia,Norte de Santander,8.5768,-73.0948,2
8.2769,-76.3806,8598443,08-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Military Forces of Colombia (2018-),South America,Colombia,Antioquia,8.2769,-76.3806,0
4.7949,-75.992,8598499,08-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,4.7949,-75.992,1
8.14,-72.57,8586972,07-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Armed Group (Colombia),Police Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.14,-72.57,0
3.8758,-77.0117,8598308,07-Oct-21,2021,Battles,Armed clash,ELN,FARC Dissident - Jaime Martinez,South America,Colombia,Valle del Cauca,3.8758,-77.0117,5
3.0161,-76.4854,8587180,06-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0161,-76.4854,1
7.3491,-73.8993,8643503,06-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Santander,7.3491,-73.8993,1
4.4725,-74.1264,8586967,05-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,"Bogota, D.C.",4.4725,-74.1264,1
0.6848,-76.6048,8586968,05-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Putumayo,0.6848,-76.6048,1
1.9314,-77.3594,8598307,05-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Narino,1.9314,-77.3594,1
2.9259,-76.5935,8586963,04-Oct-21,2021,Violence against civilians,Attack,FARC Dissident - Jaime Martinez,Civilians (Colombia),South America,Colombia,Cauca,2.9259,-76.5935,1
3.0341,-76.4085,8586964,04-Oct-21,2021,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.0341,-76.4085,0
8.4364,-73.2874,8586966,04-Oct-21,2021,Battles,Armed clash,ELN,Military Forces of Colombia (2018-),South America,Colombia,Norte de Santander,8.4364,-73.2874,1
3.1738,-76.2613,8587178,04-Oct-21,2021,Violence against civilians,Abduction/forced disappearance,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,3.1738,-76.2613,0
8.556,-74.2631,8587187,04-Oct-21,2021,Battles,Armed clash,Unidentified Armed Group (Colombia),Gulf Clan,South America,Colombia,Bolivar,8.556,-74.2631,1
2.2568,-77.2495,8586961,03-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.2568,-77.2495,1
1.3913,-78.5193,8587147,03-Oct-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Second Marquetalia,South America,Colombia,Narino,1.3913,-78.5193,1
6.4494,-71.7586,8586959,02-Oct-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,FARC Dissident - 10th Front,Military Forces of Colombia (2018-),South America,Colombia,Arauca,6.4494,-71.7586,1
4.0853,-76.1977,8586960,02-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Valle del Cauca,4.0853,-76.1977,0
7.0747,-75.1483,8627570,02-Oct-21,2021,Violence against civilians,Attack,FARC Dissident - 36th Front,Civilians (Colombia),South America,Colombia,Antioquia,7.0747,-75.1483,4
11.0067,-74.2413,8606687,01-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Magdalena,11.0067,-74.2413,1
2.9515,-76.2711,8575493,01-Oct-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Cauca,2.9515,-76.2711,0
1.9089,-75.1575,8575489,30-Sep-21,2021,Battles,Armed clash,Military Forces of Colombia (2018-),FARC Dissident - Second Marquetalia,South America,Colombia,Caqueta,1.9089,-75.1575,1
2.2568,-77.2495,8575490,30-Sep-21,2021,Battles,Armed clash,FARC Dissident - Carlos Patino Front,Unidentified Armed Group (Colombia),South America,Colombia,Cauca,2.2568,-77.2495,2
1.8071,-78.7639,8586952,30-Sep-21,2021,Explosions/Remote violence,Remote explosive/landmine/IED,FARC Dissident - 30th Front,Civilians (Colombia),South America,Colombia,Narino,1.8071,-78.7639,1
8.2763,-73.8681,8586955,30-Sep-21,2021,Violence against civilians,Attack,Gulf Clan,Civilians (Colombia),South America,Colombia,Bolivar,8.2763,-73.8681,1
-0.1919,-74.7825,8606686,30-Sep-21,2021,Violence against civilians,Attack,Unidentified Armed Group (Colombia),Civilians (Colombia),South America,Colombia,Putumayo,-0.1919,-74.7825,1
